Method Time Sample
METHOD_DEAFAULT-O(2N) 682780 204000
METHOD_OPTMIZED-O(N) 267961 204000
METHOD_DEAFAULT-O(2N) 682015 205000
METHOD_OPTMIZED-O(N) 266872 205000
METHOD_DEAFAULT-O(2N) 683537 206000
METHOD_OPTMIZED-O(N) 272668 206000
METHOD_DEAFAULT-O(2N) 688705 207000
METHOD_OPTMIZED-O(N) 281325 207000
METHOD_DEAFAULT-O(2N) 692273 208000
METHOD_OPTMIZED-O(N) 281810 208000
METHOD_DEAFAULT-O(2N) 700614 209000
METHOD_OPTMIZED-O(N) 287489 209000
METHOD_DEAFAULT-O(2N) 716703 210000
METHOD_OPTMIZED-O(N) 283513 210000
METHOD_DEAFAULT-O(2N) 735455 211000
METHOD_OPTMIZED-O(N) 318621 211000
METHOD_DEAFAULT-O(2N) 748926 212000
METHOD_OPTMIZED-O(N) 290803 212000
METHOD_DEAFAULT-O(2N) 696127 213000
METHOD_OPTMIZED-O(N) 279594 213000
METHOD_DEAFAULT-O(2N) 712149 214000
METHOD_OPTMIZED-O(N) 284555 214000
METHOD_DEAFAULT-O(2N) 744686 215000
METHOD_OPTMIZED-O(N) 299546 215000
METHOD_DEAFAULT-O(2N) 750752 216000
METHOD_OPTMIZED-O(N) 328353 216000
METHOD_DEAFAULT-O(2N) 807218 217000
METHOD_OPTMIZED-O(N) 365315 217000
METHOD_DEAFAULT-O(2N) 777775 218000
METHOD_OPTMIZED-O(N) 348765 218000
METHOD_DEAFAULT-O(2N) 744588 219000
METHOD_OPTMIZED-O(N) 321803 219000
METHOD_DEAFAULT-O(2N) 759517 220000
METHOD_OPTMIZED-O(N) 325517 220000
METHOD_DEAFAULT-O(2N) 781182 221000
METHOD_OPTMIZED-O(N) 327098 221000
METHOD_DEAFAULT-O(2N) 809630 222000
METHOD_OPTMIZED-O(N) 354580 222000
METHOD_DEAFAULT-O(2N) 795091 223000
METHOD_OPTMIZED-O(N) 336125 223000
METHOD_DEAFAULT-O(2N) 828463 224000
METHOD_OPTMIZED-O(N) 353129 224000
METHOD_DEAFAULT-O(2N) 804348 225000
METHOD_OPTMIZED-O(N) 337152 225000
METHOD_DEAFAULT-O(2N) 861431 226000
METHOD_OPTMIZED-O(N) 365880 226000
METHOD_DEAFAULT-O(2N) 839009 227000
METHOD_OPTMIZED-O(N) 330803 227000
METHOD_DEAFAULT-O(2N) 783257 228000
METHOD_OPTMIZED-O(N) 336142 228000
METHOD_DEAFAULT-O(2N) 781501 229000
METHOD_OPTMIZED-O(N) 330564 229000
METHOD_DEAFAULT-O(2N) 846875 230000
METHOD_OPTMIZED-O(N) 375484 230000
METHOD_DEAFAULT-O(2N) 899290 231000
METHOD_OPTMIZED-O(N) 391658 231000
METHOD_DEAFAULT-O(2N) 892253 232000
METHOD_OPTMIZED-O(N) 385207 232000
METHOD_DEAFAULT-O(2N) 883998 233000
METHOD_OPTMIZED-O(N) 369687 233000
METHOD_DEAFAULT-O(2N) 912393 234000
METHOD_OPTMIZED-O(N) 393132 234000
METHOD_DEAFAULT-O(2N) 923060 235000
METHOD_OPTMIZED-O(N) 390161 235000
METHOD_DEAFAULT-O(2N) 920852 236000
METHOD_OPTMIZED-O(N) 389940 236000
METHOD_DEAFAULT-O(2N) 895350 237000
METHOD_OPTMIZED-O(N) 366315 237000
METHOD_DEAFAULT-O(2N) 953490 238000
METHOD_OPTMIZED-O(N) 408879 238000
METHOD_DEAFAULT-O(2N) 924351 239000
METHOD_OPTMIZED-O(N) 383695 239000
METHOD_DEAFAULT-O(2N) 945074 240000
METHOD_OPTMIZED-O(N) 389845 240000
METHOD_DEAFAULT-O(2N) 953963 241000
METHOD_OPTMIZED-O(N) 390759 241000
METHOD_DEAFAULT-O(2N) 986048 242000
METHOD_OPTMIZED-O(N) 404214 242000
METHOD_DEAFAULT-O(2N) 948896 243000
METHOD_OPTMIZED-O(N) 384002 243000
METHOD_DEAFAULT-O(2N) 1036905 244000
METHOD_OPTMIZED-O(N) 427384 244000
METHOD_DEAFAULT-O(2N) 1034658 245000
METHOD_OPTMIZED-O(N) 414768 245000
METHOD_DEAFAULT-O(2N) 1091236 246000
METHOD_OPTMIZED-O(N) 422739 246000
METHOD_DEAFAULT-O(2N) 1175942 247000
METHOD_OPTMIZED-O(N) 415308 247000
METHOD_DEAFAULT-O(2N) 1621708 248000
METHOD_OPTMIZED-O(N) 472620 248000
METHOD_DEAFAULT-O(2N) 1038121 249000
METHOD_OPTMIZED-O(N) 454658 249000
METHOD_DEAFAULT-O(2N) 990129 250000
METHOD_OPTMIZED-O(N) 400433 250000
METHOD_DEAFAULT-O(2N) 925824 251000
METHOD_OPTMIZED-O(N) 443270 251000
METHOD_DEAFAULT-O(2N) 939147 252000
METHOD_OPTMIZED-O(N) 447889 252000
METHOD_DEAFAULT-O(2N) 921793 253000
METHOD_OPTMIZED-O(N) 433445 253000
METHOD_DEAFAULT-O(2N) 953171 254000
METHOD_OPTMIZED-O(N) 448441 254000
METHOD_DEAFAULT-O(2N) 967419 255000
METHOD_OPTMIZED-O(N) 447244 255000
METHOD_DEAFAULT-O(2N) 983833 256000
METHOD_OPTMIZED-O(N) 451253 256000
METHOD_DEAFAULT-O(2N) 1020436 257000
METHOD_OPTMIZED-O(N) 471720 257000
METHOD_DEAFAULT-O(2N) 1035206 258000
METHOD_OPTMIZED-O(N) 461593 258000
METHOD_DEAFAULT-O(2N) 993317 259000
METHOD_OPTMIZED-O(N) 460619 259000
METHOD_DEAFAULT-O(2N) 991760 260000
METHOD_OPTMIZED-O(N) 453156 260000
METHOD_DEAFAULT-O(2N) 1014876 261000
METHOD_OPTMIZED-O(N) 461780 261000
METHOD_DEAFAULT-O(2N) 1034339 262000
METHOD_OPTMIZED-O(N) 468795 262000
METHOD_DEAFAULT-O(2N) 1041398 263000
METHOD_OPTMIZED-O(N) 452888 263000
METHOD_DEAFAULT-O(2N) 1071740 264000
METHOD_OPTMIZED-O(N) 470828 264000
METHOD_DEAFAULT-O(2N) 1079316 265000
METHOD_OPTMIZED-O(N) 461342 265000
METHOD_DEAFAULT-O(2N) 1033346 266000
METHOD_OPTMIZED-O(N) 468346 266000
METHOD_DEAFAULT-O(2N) 1045048 267000
METHOD_OPTMIZED-O(N) 464475 267000
METHOD_DEAFAULT-O(2N) 1359846 268000
METHOD_OPTMIZED-O(N) 622686 268000
METHOD_DEAFAULT-O(2N) 1369512 269000
METHOD_OPTMIZED-O(N) 619152 269000
METHOD_DEAFAULT-O(2N) 1230354 270000
METHOD_OPTMIZED-O(N) 534915 270000
METHOD_DEAFAULT-O(2N) 1245079 271000
METHOD_OPTMIZED-O(N) 562606 271000
METHOD_DEAFAULT-O(2N) 1169751 272000
METHOD_OPTMIZED-O(N) 523521 272000
METHOD_DEAFAULT-O(2N) 1101464 273000
METHOD_OPTMIZED-O(N) 485541 273000
METHOD_DEAFAULT-O(2N) 1186242 274000
METHOD_OPTMIZED-O(N) 540396 274000
METHOD_DEAFAULT-O(2N) 1153132 275000
METHOD_OPTMIZED-O(N) 497369 275000
METHOD_DEAFAULT-O(2N) 1439754 276000
METHOD_OPTMIZED-O(N) 638946 276000
METHOD_DEAFAULT-O(2N) 1367566 277000
METHOD_OPTMIZED-O(N) 573552 277000
METHOD_DEAFAULT-O(2N) 1280162 278000
METHOD_OPTMIZED-O(N) 526589 278000
METHOD_DEAFAULT-O(2N) 1231619 279000
METHOD_OPTMIZED-O(N) 517854 279000
METHOD_DEAFAULT-O(2N) 1225902 280000
METHOD_OPTMIZED-O(N) 534174 280000
METHOD_DEAFAULT-O(2N) 1225564 281000
METHOD_OPTMIZED-O(N) 513983 281000
METHOD_DEAFAULT-O(2N) 1229528 282000
METHOD_OPTMIZED-O(N) 526638 282000
METHOD_DEAFAULT-O(2N) 1251857 283000
METHOD_OPTMIZED-O(N) 534638 283000
METHOD_DEAFAULT-O(2N) 1278068 284000
METHOD_OPTMIZED-O(N) 545418 284000
